JobName, Success, Time start, time schedule, Time start Exec, Time End Exec, Tier, Type
141693673,1,44237,0.011118,0.011128,55257.231128,UK-London-Tier2,MCSimulation
141725731,1,78749,0.012915,0.012925,55257.682925,INFN-T1,MCSimulation
141678115,1,28197,0.010856,0.011064,55259.971064,UK-NorthGrid,MCSimulation
141705407,1,56006,0.011161,0.011172,55260.301172,UK-London-Tier2,MCSimulation
141723202,1,76051,0.012915,0.012925,55259.602925,UK-London-Tier2,MCSimulation
141727934,1,81082,0.012915,0.012925,55262.462925,RAL-LCG2,MCSimulation
141733598,1,86325,0.012936,0.012947,55265.422947,UK-NorthGrid,MCSimulation
141648287,1,1813,0.010108,0.010216,55265.300216,IN2P3-CC,MCSimulation
141714159,1,65993,0.012362,0.012471,55265.852471,UK-ScotGrid,MCSimulation
141711827,1,63294,0.011929,0.012038,55273.912038,UK-ScotGrid,MCSimulation
141691964,1,43028,0.011118,0.011128,55285.501128,CERN-PROD,MCSimulation
141723992,1,77514,0.012915,0.012925,55282.052925,FR-GRIF,MCSimulation
141684305,1,35207,0.011074,0.011085,55285.251085,CERN-PROD,DataStripping
141721050,1,73625,0.012915,0.012925,55285.172925,PL-TIER2-WLCG,MCSimulation
141703319,1,53438,0.011161,0.011172,55289.061172,FR-IN2P3-LPC,MCSimulation
141713328,1,65355,0.012146,0.012254,55310.302254,FZK-LCG2,MCSimulation
141653829,1,6461,0.010856,0.011064,55312.331064,UK-London-Tier2,MCSimulation
141730740,1,83590,0.012915,0.012925,55315.122925,CERN-PROD,MCSimulation
141711849,1,63300,0.011929,0.012038,55316.132038,FR-GRIF,MCSimulation
141732443,1,85477,0.012915,0.012925,55322.182925,CH-CHIPP-CSCS,MCSimulation
141700335,1,50984,0.011139,0.011150,55322.261150,NRC-KI-T1,MCSimulation
141703239,1,53412,0.011161,0.011172,55324.981172,INFN-T1,MCSimulation
141733295,1,86181,0.012936,0.012947,55329.512947,CH-CHIPP-CSCS,MCSimulation
141715283,1,67778,0.012795,0.012904,55335.322904,UK-SouthGrid,MCSimulation
141649044,1,1960,0.010108,0.010216,55343.430216,UK-NorthGrid,MCSimulation
141700348,1,50985,0.011139,0.011150,55346.671150,CH-CHIPP-CSCS,MCSimulation
141696425,1,46475,0.011118,0.011128,55349.311128,RO-LCG,MCSimulation
141680657,1,31670,0.011074,0.011085,55354.561085,IN2P3-CC,MCSimulation
141718551,1,71199,0.012795,0.012904,55355.482904,IN2P3-CC,MCSimulation
141714168,1,65996,0.012579,0.012687,55356.272687,IN2P3-CC,MCSimulation
141700991,1,51070,0.011139,0.011150,55365.781150,FR-IN2P3-CPPM,MCSimulation
141709769,1,60540,0.011497,0.011605,55365.821605,UK-SouthGrid,MCSimulation
141715396,1,67794,0.012795,0.012904,55366.422904,CERN-PROD,MCSimulation
141733130,1,86081,0.012936,0.012947,55377.882947,RAL-LCG2,MCSimulation
141715912,1,68367,0.012795,0.012904,55381.402904,RAL-LCG2,MCSimulation
141716558,1,68707,0.012795,0.012904,55384.342904,UK-London-Tier2,MCSimulation
141723319,1,76142,0.012915,0.012925,55385.812925,NRC-KI-T1,MCSimulation
141695758,1,46414,0.011118,0.011128,55390.131128,FR-IN2P3-LPC,MCSimulation
141683109,1,34147,0.011074,0.011085,55389.021085,CERN-PROD,DataStripping
141719548,1,72616,0.012915,0.012925,55389.652925,FR-IN2P3-CPPM,MCSimulation
141685326,1,36414,0.011096,0.011107,55393.261107,FR-IN2P3-LPC,MCSimulation
141673761,1,23318,0.010856,0.011064,55397.231064,RAL-LCG2,MCSimulation
141693687,1,44238,0.011118,0.011128,55393.001128,UK-London-Tier2,MCSimulation
141697860,1,48561,0.011118,0.011128,55394.581128,CH-CHIPP-CSCS,MCSimulation
141704946,1,55679,0.011161,0.011172,55403.081172,CERN-PROD,MCSimulation
141718275,1,71065,0.012795,0.012904,55405.022904,UK-London-Tier2,MCSimulation
141700904,1,51036,0.011139,0.011150,55411.661150,UK-London-Tier2,MCSimulation
141659325,1,10974,0.010856,0.011064,55413.011064,FZK-LCG2,MCSimulation
141731072,1,83774,0.012915,0.012925,55416.472925,INFN-T1,MCSimulation
141695473,1,46387,0.011118,0.011128,55419.531128,UK-NorthGrid,MCSimulation
141700526,1,51004,0.011139,0.011150,55420.251150,UK-London-Tier2,MCSimulation
141707531,1,58198,0.011280,0.011388,55421.681388,RU-RDIG,MCSimulation
141669296,1,19952,0.010856,0.011064,55425.531064,FZK-LCG2,MCSimulation
141664489,1,15426,0.010856,0.011064,55425.211064,T2-LATINAMERICA,MCSimulation
141693565,1,44218,0.011118,0.011128,55429.711128,RAL-LCG2,MCSimulation
141705460,1,56021,0.011280,0.011388,55434.371388,UK-SouthGrid,MCSimulation
141723012,1,76016,0.012915,0.012925,55442.992925,CERN-PROD,MCSimulation
141649905,1,3737,0.010325,0.010433,55422.270433,FZK-LCG2,MCReconstruction
141733684,1,86341,0.012936,0.012947,55448.682947,FR-IN2P3-CPPM,MCSimulation
141713884,1,65814,0.012146,0.012254,55447.582254,FZK-LCG2,MCSimulation
141678107,1,28194,0.010856,0.011064,55449.571064,NIKHEF-ELPROD,MCSimulation
141707162,1,58084,0.011280,0.011388,55453.411388,INFN-T1,MCSimulation
141705789,1,56141,0.011280,0.011388,55453.911388,UK-NorthGrid,MCSimulation
141713198,1,65300,0.012146,0.012254,55456.282254,UK-NorthGrid,MCSimulation
141731167,1,83786,0.012915,0.012925,55457.092925,INFN-T1,MCSimulation
141693642,1,44234,0.011118,0.011128,55457.501128,CH-CHIPP-CSCS,MCSimulation
141709854,1,60776,0.011497,0.011605,55458.681605,RAL-LCG2,MCSimulation
141680130,1,30749,0.011074,0.011085,55461.391085,CERN-PROD,DataStripping
141690422,1,41361,0.011118,0.011128,55462.011128,UK-NorthGrid,MCSimulation
141667684,1,18027,0.010856,0.011064,55463.881064,PL-TIER2-WLCG,MCSimulation
141682121,1,33163,0.011074,0.011085,55469.741085,RAL-LCG2,MCSimulation
141653487,1,6354,0.010541,0.010649,55476.410649,RAL-LCG2,MCSimulation
141722399,1,75395,0.012915,0.012925,55485.282925,RAL-LCG2,MCSimulation
141720021,1,72902,0.012915,0.012925,55488.242925,FZK-LCG2,MCSimulation
141716147,1,68542,0.012795,0.012904,55486.612904,RAL-LCG2,MCSimulation
141707689,1,58372,0.011280,0.011388,55492.471388,INFN-T1,MCSimulation
141662800,1,13540,0.010856,0.011064,55492.341064,IN2P3-CC,MCSimulation
141703082,1,53376,0.011161,0.011172,55507.141172,RO-LCG,MCSimulation
141686908,1,38474,0.011096,0.011107,55506.221107,FZK-LCG2,MCSimulation
